                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.30543,                0.43524,                0.85622,                0.98391,                0.98767,                0.99403,                0.95412,                 0.2555,                0.20177,                0.82233,             0.00016163,             0.00016163,             0.00016163
                     49,                0.30215,                0.43276,                0.85738,                0.97467,                0.97948,                0.99329,                0.95461,                0.24877,                0.21276,                0.82158,             0.00015898,             0.00015898,             0.00015898
                     50,                0.30018,                0.43579,                0.85862,                 0.9837,                0.98358,                0.99375,                0.95442,                0.24381,                0.20661,                0.81358,             0.00015634,             0.00015634,             0.00015634
                     51,                0.29307,                0.41602,                0.85086,                0.98195,                0.98361,                0.99389,                0.95044,                0.24306,                0.20395,                 0.8171,             0.00015369,             0.00015369,             0.00015369
                     52,                0.29449,                0.40917,                0.85046,                 0.9813,                0.97908,                 0.9931,                0.94854,                0.24763,                0.20824,                0.81538,             0.00015105,             0.00015105,             0.00015105
                     53,                0.29131,                 0.4026,                0.85409,                0.98029,                0.98876,                0.99317,                0.94953,                0.24622,                0.19919,                 0.8157,              0.0001484,              0.0001484,              0.0001484
                     54,                0.29494,                0.41263,                0.85802,                0.98164,                0.98512,                0.99399,                0.95311,                0.24553,                0.20242,                0.81879,             0.00014575,             0.00014575,             0.00014575
                     55,                0.29391,                0.40925,                0.85391,                0.98036,                0.98713,                0.99343,                0.95131,                0.24567,                0.19222,                0.81453,             0.00014443,             0.00014443,             0.00014443
                     56,                0.29322,                0.40302,                0.85322,                0.98466,                0.99114,                0.99413,                0.95185,                0.24881,                0.19175,                0.82303,             0.00014181,             0.00014181,             0.00014181
                     57,                0.29018,                0.39583,                0.85076,                0.98321,                 0.9909,                0.99371,                0.95455,                0.24574,                0.19078,                0.81493,             0.00013919,             0.00013919,             0.00013919
                     58,                0.28926,                0.39166,                0.85263,                0.98294,                0.98548,                0.99377,                0.95457,                0.24422,                0.18999,                0.81853,             0.00013657,             0.00013657,             0.00013657
                     59,                0.28899,                0.38549,                 0.8544,                 0.9832,                0.98803,                0.99347,                0.95287,                0.23737,                0.18529,                0.80931,             0.00013394,             0.00013394,             0.00013394
                     60,                0.28754,                0.38454,                 0.8502,                0.98492,                0.98245,                0.99383,                0.95248,                0.24039,                0.19296,                0.81537,             0.00013132,             0.00013132,             0.00013132
                     61,                0.28531,                 0.3767,                0.85111,                0.98396,                0.98777,                0.99418,                0.95679,                0.24278,                0.17828,                0.81759,              0.0001287,              0.0001287,              0.0001287
                     62,                0.28225,                0.37422,                0.85075,                0.98161,                0.98101,                0.99382,                0.95679,                0.24397,                0.18756,                0.81794,             0.00012608,             0.00012608,             0.00012608
                     63,                0.27789,                0.37196,                0.84578,                0.98541,                0.99238,                0.99391,                0.95038,                0.23692,                 0.1771,                0.81852,             0.00012346,             0.00012346,             0.00012346
                     64,                0.27719,                0.36674,                0.85199,                0.98227,                0.98855,                0.99413,                0.95311,                0.22982,                0.17692,                0.81372,             0.00012084,             0.00012084,             0.00012084
                     65,                0.28138,                0.36885,                0.84799,                0.98466,                0.99404,                0.99345,                0.95378,                 0.2387,                0.17565,                 0.8119,             0.00011821,             0.00011821,             0.00011821
                     66,                0.27763,                0.36816,                0.84893,                0.98814,                0.99404,                0.99448,                0.95408,                0.23923,                0.17555,                0.81775,             0.00011559,             0.00011559,             0.00011559
                     67,                0.28111,                0.35151,                0.84947,                0.98717,                0.99288,                 0.9945,                0.96271,                0.22941,                0.17172,                0.80911,             0.00011297,             0.00011297,             0.00011297
                     68,                0.27205,                0.35893,                 0.8411,                0.98571,                0.98938,                0.99425,                0.95533,                0.23429,                0.17631,                0.81597,             0.00011035,             0.00011035,             0.00011035
